ID,Name,Genus,Species
001,Gray-bellied Night Monkey,Aotus,lemurinus
002,Panamanian Night Monkey,Aotus,zonalis
003,Hernández-Camacho's Night Monkey,Aotus,jorgehernandezi
004,Gray-handed Night Monkey,Aotus,griseimembra
005,Hershkovitz's Night Monkey,Aotus,hershkovitzi
006,Brumback's Night Monkey,Aotus,brumbacki
007,Three-striped Night Monkey,Aotus,trivirgatus
008,Spix's Night Monkey,Aotus,vociferans
009,Malaysian Lar Gibbon,Hylobates,lar lar
010,Carpenter's Lar Gibbon,Hylobates,lar carpenteri
011,Central Lar Gibbon,Hylobates,lar entelloides
012,Sumatran Lar Gibbon,Hylobates,lar vestitus
013,Yunnan Lar Gibbon,Hylobates,lar yunnanensis
014,Mountain Agile Gibbon,Hylobates,agilis agilis
015,Bornean White-bearded Gibbon,Hylobates,agilis albibarbis
016,Lowland Agile Gibbon,Hylobates,agilis unko
017,Müller's Gray Gibbon,Hylobates,muelleri muelleri
018,Abbott's Gray Gibbon,Hylobates,muelleri abbotti
019,Northern Gray Gibbon,Hylobates,muelleri funereus
020,Black Tamarin,Saguinas,niger
021,Black-mantled Tamarin,Saguinas,nigricollis
022,Brown-mantled Tamarin,Saguinas,fuscicollis
023,Cottontop Tamarin or Pinché Tamarin,Saguinas,oedipus
024,Emperor Tamarin,Saguinas,imperator
025,Geoffroy's Tamarin,Saguinas,geoffroyi
026,Golden-mantled Tamarin,Saguinas,tripartitus
027,Graells's Tamarin,Saguinas,graellsi
028,Martins's Tamarin,Saguinas,martinsi
029,Mottle-faced Tamarin,Saguinas,inustus
030,Moustached Tamarin,Saguinas,mystax
031,Pied Tamarin,Saguinas,bicolor
032,Red-capped Tamarin,Saguinas,pileatus
033,Red-handed Tamarin,Saguinas,midas
034,White-footed Tamarin,Saguinas,leucopus
035,White-lipped Tamarin,Saguinas,labiatus
036,White-mantled Tamarin,Saguinas,melanoleucus
037,Allen's Swamp Monkey,Allenopithecus,nigroviridis
038,Angolan Talapoin,Miopithecus,talapoin
039,Gabon Talapoin,Miopithecus,ogouensis
040,Patas Monkey,Erythrocebus,patas
041,Green Monkey,Chlorocebus,sabaeus
042,Grivet,Chlorocebus,aethiops
043,Bale Mountains Vervet,Chlorocebus,djamdjamensis
044,Tantalus Monkey,Chlorocebus,tantalus
045,Vervet Monkey,Chlorocebus,pygerythrus
046,Malbrouck,Chlorocebus,cynosuros
047,Dryas Monkey or Salongo Monkey,Cercopithecus,dryas
048,Diana Monkey,Cercopithecus,diana
049,Roloway Monkey,Cercopithecus,roloway
050,Greater Spot-nosed Monkey,Cercopithecus,nictitans
051,Blue Monkey,Cercopithecus,mitis
052,Silver Monkey,Cercopithecus,doggetti
053,Golden Monkey,Cercopithecus,kandti
054,Sykes's Monkey,Cercopithecus,albogularis
055,Mona Monkey,Cercopithecus,mona
056,Campbell's Mona Monkey,Cercopithecus,campbelli
057,Lowe's Mona Monkey,Cercopithecus,lowei
